,Train MAE,Test MAE,Val MAE,Epoch,Model
74,1.4500161672237266,0.8786682322785094,1.1413175224377017,75,MPNNModel
75,1.2994683819290889,0.8786682322785094,1.2617026259159219,76,MPNNModel
76,1.2185716913070672,0.8786682322785094,1.5684417330572757,77,MPNNModel
77,1.2901223399141655,0.8786682322785094,1.5950226948179047,78,MPNNModel
78,1.2932871268967132,0.8786682322785094,1.0335903603748735,79,MPNNModel
79,1.2208510976778426,0.8786682322785094,1.2115477858652621,80,MPNNModel
80,1.3101415308876412,0.8786682322785094,1.5360025290785164,81,MPNNModel
81,1.5229194928657912,0.9586161746210231,0.9918132968283639,82,MPNNModel
82,1.228455578041875,0.9586161746210231,1.0975237311841233,83,MPNNModel
83,1.1805883489632716,0.9586161746210231,1.6640552853422212,84,MPNNModel
